frame,min_dist_px,sq_pixels
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,,0
93,,0
94,,0
95,,0
96,,0
97,,0
98,,0
99,,0
100,,0
101,,0
102,,0
103,,0
104,,0
105,,0
106,,0
107,,0
108,,0
109,,0
110,,0
111,,0
112,,0
113,,0
114,,0
115,,0
116,,0
117,,0
118,,0
119,,0
120,,0
121,,0
122,,0
123,,0
124,,0
125,,0
126,,0
127,,0
128,,0
129,,0
130,,0
131,,0
132,,0
133,,0
134,,0
135,,0
136,,0
137,,0
138,,0
139,,0
140,,0
141,65534.62890625,507
142,65534.62890625,659
143,65534.62890625,850
144,65534.62890625,1206
145,65534.62890625,1518
146,65534.62890625,1365
147,65534.62890625,1441
148,65534.62890625,1510
149,65534.62890625,1613
150,65534.62890625,1835
151,65534.62890625,19320
152,65534.62890625,18330
153,65534.62890625,15445
154,65534.62890625,15156
155,65534.62890625,15242
156,65534.62890625,15864
157,65534.62890625,14754
158,65534.62890625,15094
159,65534.62890625,14340
160,65534.62890625,11528
161,65534.62890625,11247
162,65534.62890625,10843
163,65534.62890625,10873
164,65534.62890625,10240
165,65534.62890625,10670
166,65534.62890625,11050
167,65534.62890625,11092
168,65534.62890625,11134
169,65534.62890625,11095
170,65534.62890625,10988
171,65534.62890625,10871
172,65534.62890625,10884
173,65534.62890625,10824
174,65534.62890625,10820
175,65534.62890625,10812
176,65534.62890625,10848
177,65534.62890625,10780
178,65534.62890625,10109
179,65534.62890625,10292
180,65534.62890625,9904
181,65534.62890625,9134
182,65534.62890625,10546
183,65534.62890625,9846
184,65534.62890625,9212
185,65534.62890625,9178
186,65534.62890625,9948
187,65534.62890625,9938
188,65534.62890625,1142
189,65534.62890625,10654
190,65534.62890625,1169
191,65534.62890625,10500
192,65534.62890625,10423
193,65534.62890625,1229
194,65534.62890625,10212
195,65534.62890625,10388
196,65534.62890625,10283
197,65534.62890625,1397
198,65534.62890625,1382
199,65534.62890625,8655
200,65534.62890625,1010
201,65534.62890625,962
202,65534.62890625,984
203,65534.62890625,950
204,65534.62890625,974
205,65534.62890625,915
206,65534.62890625,978
207,65534.62890625,985
208,65534.62890625,927
209,65534.62890625,969
210,65534.62890625,936
211,65534.62890625,899
212,65534.62890625,965
213,65534.62890625,870
214,65534.62890625,878
215,65534.62890625,842
216,65534.62890625,868
217,65534.62890625,863
218,65534.62890625,962
219,65534.62890625,863
220,65534.62890625,903
221,65534.62890625,881
222,65534.62890625,930
223,65534.62890625,851
224,65534.62890625,907
225,65534.62890625,905
226,65534.62890625,928
227,65534.62890625,909
228,65534.62890625,955
229,65534.62890625,1072
230,65534.62890625,1028
231,65534.62890625,1098
232,65534.62890625,870
233,65534.62890625,841
234,65534.62890625,741
235,65534.62890625,635
236,65534.62890625,550
237,65534.62890625,570
238,65534.62890625,572
239,65534.62890625,604
240,65534.62890625,572
241,65534.62890625,513
242,65534.62890625,616
243,65534.62890625,565
244,65534.62890625,570
245,65534.62890625,800
246,65534.62890625,892
247,65534.62890625,710
248,65534.62890625,668
249,65534.62890625,618
250,65534.62890625,584
251,65534.62890625,538
252,65534.62890625,545
253,65534.62890625,544
254,65534.62890625,564
255,65534.62890625,620
256,65534.62890625,531
257,65534.62890625,577
258,65534.62890625,524
259,65534.62890625,560
260,65534.62890625,533
261,65534.62890625,603
262,65534.62890625,561
263,65534.62890625,551
264,65534.62890625,554
265,65534.62890625,633
266,65534.62890625,560
267,65534.62890625,661
268,65534.62890625,533
269,65534.62890625,548
270,65534.62890625,586
271,65534.62890625,529
272,,489
273,,443
274,65534.62890625,520
275,65534.62890625,1936
276,,490
277,,476
278,,498
279,,468
280,,0
281,,0
282,,0
283,,0
284,,0
285,,0
286,,0
287,,0
288,,0
289,,0
290,,0
291,,0
292,,0
293,,0
294,,0
295,,0
296,,0
297,,0
298,,0
299,,0
